name,current_club_name,country_of_citizenship,country_of_birth,position,sub_position,foot,height_in_cm,market_value_in_eur,current_club_domestic_competition_id,age
Niccolò Di Stefano,Inter Mailand,Italy,Italy,Defender,Centre-Back,,187,11000000.0,IT1,28.0
Oscar,Fc Chelsea,Brazil,Brazil,Attack,Attacking Midfield,Right,179,15000000.0,GB1,32.0
Gabriel Barbosa,Inter Mailand,Brazil,Brazil,Attack,Centre-Forward,Left,178,22000000.0,IT1,27.0
David Hancko,Ac Florenz,Slovakia,Slovakia,Defender,Centre-Back,Left,188,12500000.0,IT1,26.0
Umar Sadiq,As Rom,Nigeria,Nigeria,Attack,Centre-Forward,Right,191,18000000.0,IT1,26.0
Pedro,Ac Florenz,Brazil,Brazil,Attack,Centre-Forward,Right,185,20000000.0,IT1,26.0
Guilherme Arana,Atalanta Bergamo,Brazil,Brazil,Defender,Left-Back,Left,176,14000000.0,IT1,26.0
Dominic Solanke,Afc Bournemouth,England,England,Attack,Centre-Forward,Right,186,18000000.0,GB1,26.0
David Brooks,Afc Bournemouth,Wales,England,Attack,Right Winger,Left,173,14000000.0,GB1,26.0
Philip Billing,Afc Bournemouth,Denmark,Denmark,Midfield,Central Midfield,Left,193,18000000.0,GB1,27.0
Lloyd Kelly,Afc Bournemouth,England,England,Defender,Centre-Back,Left,190,15000000.0,GB1,25.0
Jefferson Lerma,Afc Bournemouth,Colombia,Colombia,Midfield,Defensive Midfield,Right,179,15000000.0,GB1,29.0
Oumar Solet,Olympique Lyon,France,France,Defender,Centre-Back,Right,192,15000000.0,FR1,23.0
Aleksandar Mitrović,Fc Fulham,Serbia,Yugoslavia (Republic),Attack,Centre-Forward,Right,189,28000000.0,GB1,29.0
Fábio Carvalho,Fc Fulham,Portugal,Portugal,Attack,Attacking Midfield,Right,170,20000000.0,GB1,21.0
Harrison Reed,Fc Fulham,England,England,Midfield,Central Midfield,Right,181,15000000.0,GB1,28.0
Tosin Adarabioyo,Fc Fulham,England,England,Defender,Centre-Back,Right,196,18000000.0,GB1,26.0
Harry Wilson,Fc Liverpool,Wales,Wales,Attack,Right Winger,Left,173,17000000.0,GB1,26.0
Sander Berge,Sheffield United,Norway,Norway,Midfield,Defensive Midfield,Right,195,16000000.0,GB1,25.0
